Date Reported,Date of Occurrence,Time of Occurrence,City,Severity,Crime Description,Victim Age,Victim Gender,Weapon Used
03-10-2021,30-09-2021,16,Bhayandar Industrial Area,8,Robbery,41,Female,Poison
05-02-2020,26-01-2020,19,Kopar Khairane,9,Robbery,25,Other,Knife
14-12-2022,10-12-2022,22,Airoli Industrial Area,2,Domestic Violence,58,Other,None
02-05-2024,24-04-2024,0,Malad West,9,Kidnapping,49,Female,Gun
21-08-2024,14-08-2024,1,Khar East,8,Domestic Violence,66,Female,Explosives
26-09-2022,24-09-2022,21,Chaitanya Nagar (Santacruz East),4,Theft,48,Female,Gun
24-09-2023,22-09-2023,10,Borivali West,7,Fraud,56,Female,Gun
27-02-2020,21-02-2020,9,21st Road (Khar),4,Robbery,21,Male,Explosives
25-09-2021,23-09-2021,17,Juhu Koliwada,6,Riot,6,Other,Poison
04-05-2024,30-04-2024,4,Vashi,4,Domestic Violence,56,Other,Blunt Object
16-07-2024,09-07-2024,3,Pandurang Wadi (Goregaon),5,Vehicle Theft,11,Female,Gun
09-06-2022,06-06-2022,12,Santacruz Industrial Area,2,Sexual Assault,9,Female,Explosives
25-08-2020,16-08-2020,17,Irla (Vile Parle),5,Cyber Crime,37,Female,Explosives
02-01-2022,25-12-2021,9,Dahisar Industrial Area,1,Theft,54,Male,Explosives
22-11-2023,16-11-2023,16,Mount Mary Area,6,Sexual Assault,73,Other,Blunt Object
23-11-2021,20-11-2021,5,Dahisar Industrial Area,8,Domestic Violence,51,Other,Blunt Object
02-07-2021,26-06-2021,4,KR Nagar (Jogeshwari),7,Human Trafficking,41,Male,Gun
16-11-2020,08-11-2020,20,Bhayandar Industrial Area,5,Theft,39,Male,None
03-01-2021,03-01-2021,4,Juhu Market,1,Robbery,55,Male,Acid
15-12-2023,08-12-2023,5,18th Road (Khar),4,Attempt to Murder,25,Female,Acid
22-08-2021,20-08-2021,5,Vasai East,4,Sexual Assault,54,Other,Blunt Object
13-08-2021,10-08-2021,16,Navi Mumbai Industrial Area,7,Domestic Violence,51,Male,Gun
02-04-2022,28-03-2022,4,Virar West,6,Domestic Violence,12,Other,Poison
20-11-2024,17-11-2024,4,Bangur Nagar (Goregaon),3,Attempt to Murder,30,Male,Explosives
14-03-2022,07-03-2022,14,Indiraji Nagar,6,Cyber Crime,37,Male,Gun
02-09-2020,31-08-2020,6,Behram Baug (Jogeshwari),7,Human Trafficking,47,Male,Poison
05-11-2023,31-10-2023,8,18th Road (Khar),8,Robbery,63,Female,Gun
11-07-2020,01-07-2020,8,Bhayandar East,4,Extortion,20,Other,Blunt Object
25-02-2021,20-02-2021,22,Oshiwara,6,Murder,24,Female,Knife
28-07-2023,19-07-2023,9,Kamothe,7,Vehicle Theft,18,Other,Acid
29-01-2020,22-01-2020,15,Virar Junction,2,Kidnapping,48,Other,Knife
15-09-2020,15-09-2020,22,Goregaon East,7,Extortion,37,Other,Acid
20-06-2020,13-06-2020,23,Vazira Naka,5,Kidnapping,10,Other,Knife
06-05-2023,03-05-2023,0,Mira Road East,2,Robbery,17,Male,Acid
05-06-2024,29-05-2024,8,Janupada (Kandivali East),3,Cyber Crime,20,Female,None
05-09-2023,03-09-2023,22,Momin Nagar (Jogeshwari),1,Vehicle Theft,31,Female,Explosives
31-10-2024,24-10-2024,3,LIC Colony (Borivali),5,Vehicle Theft,18,Female,Gun
31-08-2021,30-08-2021,12,Sahar Airport,6,Chain Snatching,16,Male,Acid
07-10-2022,07-10-2022,6,Shivaji Nagar (Santacruz East),1,Extortion,68,Other,Blunt Object
15-05-2021,10-05-2021,6,Shimpoli,4,Domestic Violence,45,Other,Explosives
31-03-2021,31-03-2021,23,Vile Parle East,7,Robbery,15,Other,Poison
28-04-2022,23-04-2022,16,18th Road (Khar),9,Robbery,21,Male,Blunt Object
18-05-2021,16-05-2021,8,Mira Road Industrial Area,2,Sexual Assault,36,Male,Explosives
17-05-2024,12-05-2024,6,NESCO Colony (Goregaon),4,Domestic Violence,44,Other,Knife
03-03-2020,25-02-2020,20,Andheri Market,4,Domestic Violence,75,Female,None
04-10-2021,27-09-2021,6,Virar Station Area,5,Cyber Crime,35,Female,Knife
27-07-2022,18-07-2022,7,Bhayandar West,5,Attempt to Murder,55,Male,Acid
03-04-2024,28-03-2024,1,Sant Dnyaneshwar Nagar,9,Vehicle Theft,64,Female,Blunt Object
08-03-2024,27-02-2024,17,Virar East Colony,4,Chain Snatching,78,Male,Knife
01-06-2020,22-05-2020,10,Khar Danda,2,Sexual Assault,24,Female,None
02-04-2020,24-03-2020,4,Virar Industrial Area,3,Domestic Violence,44,Male,Gun
29-03-2021,28-03-2021,23,Vasai West Town,6,Fraud,24,Female,Acid
25-11-2020,15-11-2020,6,Bandra West,9,Fraud,72,Female,Poison
06-08-2023,03-08-2023,0,Vasai East,2,Cyber Crime,45,Female,Knife
23-08-2022,16-08-2022,5,Pali Naka (Khar),2,Murder,18,Female,Knife
03-03-2021,02-03-2021,11,Virar Junction,4,Fraud,49,Female,Gun
31-10-2024,25-10-2024,23,Bangur Nagar (Goregaon),2,Robbery,31,Female,None
17-10-2022,13-10-2022,19,Thakur Complex (Kandivali East),3,Domestic Violence,16,Other,Blunt Object
05-01-2020,05-01-2020,0,Bhayandar West,1,Drug Possession,30,Other,Gun
01-06-2020,24-05-2020,2,Khar Market Area,8,Riot,38,Female,Knife
01-08-2021,23-07-2021,15,NL Complex (Dahisar),6,Attempt to Murder,34,Other,Knife
29-01-2024,22-01-2024,15,Rawalpada (Dahisar),9,Theft,63,Male,Poison
30-11-2021,25-11-2021,8,Chaitanya Nagar (Santacruz East),1,Extortion,71,Female,Blunt Object
12-06-2022,03-06-2022,19,Bandra East,6,Vehicle Theft,75,Other,Blunt Object
11-08-2024,10-08-2024,5,Goregaon Central,7,Cyber Crime,60,Male,Knife
20-08-2023,11-08-2023,9,Dahanukar Wadi (Kandivali West),5,Drug Possession,66,Female,Acid
